#Used IDs 11123-11188
#Free IDs 11101-11122, 11162-11163, 11169-11176, 11186, 11189-11250

#################
###11101-11122###
#################

11123 = {	#84060
	name = Horst
	dynasty = 11132
	dna = oldebgahdci
	culture = talabeclander
	religion = imperial_pantheon
	martial = 3
	diplomacy = 2
	stewardship = 5
	intrigue = 6
	learning = 3
	add_trait = creature_human
	add_trait = elusive_shadow
	add_trait = stressed

	1685.12.3 = {birth = yes}
	1750.12.3 = {death = yes}
}

11124 = {	#84061
	name = Helmut
	dynasty = 11132
	dna = ipiaoilkgpp
	culture = talabeclander
	religion = imperial_pantheon
	martial = 4
	diplomacy = 3
	stewardship = 4
	intrigue = 3
	learning = 1
	add_trait = creature_human
	father = 11123
	add_trait = tough_soldier
	add_trait = content
	add_trait = brave
	add_trait = cruel

	1724.6.14 = {birth = yes}
	1784.6.14 = {death = yes}
}

11125 = {	#84062
	name = Albrecht
	dynasty = 11132
	dna = bhagihkhgbo
	culture = talabeclander
	religion = imperial_pantheon
	martial = 4
	diplomacy = 2
	stewardship = 3
	intrigue = 6
	learning = 5
	add_trait = creature_human
	father = 11124
	add_trait = flamboyant_schemer
	add_trait = craven

	1780.2.7 = {birth = yes}
	1840.2.7 = {death = yes}
}

11126 = {	#84064
	name = Gregory
	dynasty = 11135
	dna = jadnplkpegl
	culture = talabeclander
	religion = imperial_pantheon
	martial = 8
	diplomacy = 5
	stewardship = 4
	intrigue = 2
	learning = 2
	add_trait = creature_human
	add_trait = tough_soldier

	1855.7.29 = {birth = yes}
	1939.7.29 = {death = yes}
}

11127 = {	#84065
	name = Gotzelo
	dynasty = 11132
	dna = mcahnbcpfhn
	culture = talabeclander
	religion = imperial_pantheon
	martial = 5
	diplomacy = 7
	stewardship = 6
	intrigue = 4
	learning = 7
	add_trait = creature_human
	add_trait = thrifty_clerk
	add_trait = slothful
	add_trait = cruel
	add_trait = honest
	father = 11187
	1901.10.18 = {birth = yes}
	1972.10.18 = {death = yes}
}

11128 = {	#84068
	name = Ottilia #Ottilia IV
	female = yes
	dynasty = 11000
	dna = eejjjfkjigb
	culture = talabeclander
	religion = imperial_pantheon
	martial = 5
	diplomacy = 4
	stewardship = 8
	intrigue = 1
	learning = 1
	add_trait = creature_human
	father = 11182
	mother = 11142
	add_trait = naive_appeaser
	add_trait = just
	add_trait = brave
	add_trait = temperate
	add_trait = charitable
	1999.7.2 = {
		birth = yes
		effect = {
			set_character_flag = magic_potential_flag_1
		}
	}
	2066.7.2 = {death = yes}
}

#################
###11129-11139###
#################

11140 = {
	name = Oskar
	dynasty = 11000
	dna = bkjeaolamog
	culture = talabeclander
	religion = imperial_pantheon
	martial = 7
	diplomacy = 4
	stewardship = 7
	intrigue = 4
	learning = 4
	add_trait = creature_human
	add_trait = grey_eminence
	1932.5.11 = {birth = yes}
	1998.5.11 = {death = yes}
}

11141 = {	#84080
	name = Talgris
	dynasty = 11000
	dna = ckfnhhffhgf
	culture = talabeclander
	religion = imperial_pantheon
	martial = 3
	diplomacy = 4
	stewardship = 1
	intrigue = 5
	learning = 7
	add_trait = creature_human
	father = 11140
	add_trait = skilled_tactician
	add_trait = hedonist
	add_trait = ambitious
	add_trait = cruel
	1972.2.23 = {birth = yes}
	1999.2.23 = {death = yes}
}

11142 = {	#84000
	name = Ottilia #Ottilia III
	female = yes
	dynasty = 11000
	culture = talabeclander
	religion = imperial_pantheon
	dna = qkjeaolamov
	properties = ajubbh000000
	martial = 2
	diplomacy = 7
	stewardship = 5
	intrigue = 2
	learning = 8
	father = 11140
	add_trait = creature_human
	add_trait = detached_priest
	add_trait = gregarious
	add_trait = honest
	add_trait = wroth
	add_trait = proud

	1970.11.4 = {birth = yes}
	1995.2.19 = {
