#Ekrund Royal Clan
1299 = {
	name = Rindrak
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 5
	diplomacy = 8
	stewardship = 6
	intrigue = 5
	learning = 6
	add_trait = skilled_tactician
	add_trait = hunter
	add_trait = cruel
	add_trait = proud
	add_trait = lunatic_1
	989.9.20 = {
		birth = yes
		effect = {
			set_variable = { which = lunatic_counter value = 5 }
		}
	}
	1150.4.5 = {death = yes}
	}
	1300 = {
	name = Borgin
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 8
	diplomacy = 4
	stewardship = 7
	intrigue = 4
	learning = 6
	add_trait = misguided_warrior
	add_trait = greedy
	add_trait = patient
	add_trait = humble
	add_trait = depressed
	father=1299
	1077.2.25 = {birth = yes}
	1273.11.21 = {death = yes}
	}
	1301 = {
	name = Skalf
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 8
	diplomacy = 4
	stewardship = 8
	intrigue = 7
	learning = 5
	add_trait = misguided_warrior
	add_trait = craven
	add_trait = diligent
	add_trait = trusting
	add_trait = cynical
	add_trait = lustful
	father=1300
	1151.11.25 = {birth = yes}
	1384.12.15 = {death = yes}
	}
	1302 = {
	name = Hurgar
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 8
	diplomacy = 5
	stewardship = 4
	intrigue = 8
	learning = 4
	add_trait = tough_soldier
	add_trait = content
	add_trait = brave
	add_trait = arbitrary
	add_trait = diligent
	add_trait = temperate
	father=1301
	1203.1.9 = {birth = yes}
	1551.5.2 = {death = yes}
	}
	
	1303 = {
	name = Baragor
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 4
	diplomacy = 6
	stewardship = 8
	intrigue = 5
	learning = 7
	add_trait = misguided_warrior
	add_trait = poet
	add_trait = slothful
	add_trait = content
	add_trait = patient
	father=1302
	1379.1.16 = {birth = yes}
	1660.8.5 = {death = yes}
	}
	1305 = {
	name = Grindol
	dynasty = 75289
	culture = dwarf_azul
	religion = ancestor_gods
	martial = 7
	diplomacy = 5
	stewardship = 8
	intrigue = 7
	learning = 8
	add_trait = grey_eminence
	add_trait = gregarious
	add_trait = diligent
