#Dwardin Thanehold Line

1350 = {
	name = Durak
	dynasty = 75331
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 4
	diplomacy = 4
	stewardship = 8
	intrigue = 4
	learning = 8
	add_trait = tough_soldier
	add_trait = patient
	add_trait = gregarious
	add_trait = slothful
	1579.4.20 = {birth = yes}
	1706.1.1={effect={reverse_opinion={name=opinion_dwarf_grudge who=2038 years=100}}}
	1802.6.11 = {death = yes}
}
1351 = {
	name = Okri
	dynasty = 75331
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 1
	diplomacy = 1
	stewardship = 9
	intrigue = 7
	learning = 5
	add_trait = creature_dwarf
	add_trait = amateurish_plotter
	add_trait = patient
	add_trait = arbitrary
	add_trait = twin
	father=1350
	1698.1.30 = {birth = yes}
	1706.1.1={effect={reverse_opinion={name=opinion_dwarf_grudge who=2038 years=100}}}
	2000.1.1={effect={reverse_opinion={name=opinion_dwarf_grudge who=2039 years=100}}}
	2028.3.18 = {death = yes}
}
1352 = {
	name = Goddi
	dynasty = 75331
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 1
	diplomacy = 1
	stewardship = 9
	intrigue = 7
	learning = 5
	add_trait = creature_dwarf
	add_trait = amateurish_plotter
	add_trait = arbitrary
	add_trait = twin
	father=1350
	1698.1.30 = {birth = yes}
	1706.1.1={effect={reverse_opinion={name=opinion_dwarf_grudge who=2038 years=100}}}
	2000.1.1={effect={reverse_opinion={name=opinion_dwarf_grudge who=2039 years=100}}}
	2028.3.18 = {death = yes}
}
#Karag Grim Brightshield Clan

1353 = {
	name = Dorin
	dynasty = 75418
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 10
	intrigue = 1
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = chaste
	1849.5.16 = {birth = yes}
	2161.9.18 = {death = yes}
	}
	
	1354 = {
	name = Loki
	dynasty = 75418
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 10
	intrigue = 1
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = chaste
	father=1353
	mother = 1359
	1899.7.12 = {birth = yes}
	2161.6.24 = {death = yes}
	}
	
	53452 = {
	name = Thorbal
	dynasty = 75418
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 10
	intrigue = 1
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = chaste
	father=1353
	mother = 1359
	1904.1.3 = {birth = yes}
	2190.5.8 = {death = yes}
	}
	
	1355 = {
	name = Krudd
	dynasty = 75418
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 10
	intrigue = 1
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = chaste
	father=1353
	mother = 1359
	1908.8.19 = {birth = yes}
	2205.10.27 = {death = yes}
	}
	
	1356 = {
	name = Logan
	dynasty = 75418
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 10
	intrigue = 1
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = chaste
	father=1353
	mother = 1359
	1915.2.15 = {birth = yes}
	2196.7.13 = {death = yes}
	}
	
	1357 = {
	name = Thorin
	dynasty = 75418
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 10
	intrigue = 1
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = chaste
	father=1353
	mother = 1359
	1921.11.11 = {birth = yes}
	2233.3.16 = {death = yes}
	}
	
	1358 = {
	name = Gwenelyn
	female = yes
	dynasty = 75418
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 10
	intrigue = 1
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = chaste
	father=1353
	mother = 1359
	1910.12.14 = {birth = yes}
	2278.3.16 = {death = yes}
	}
	53059 = {
		name = Grimwold
		dynasty = 75173
		culture = dwarf_karak
		religion = ancestor_gods
		martial = 1
		diplomacy = 7
		stewardship = 6
		intrigue = 8
		learning = 1
		add_trait = creature_dwarf
		add_trait = hunter
		add_trait = misguided_warrior
		add_trait = craven
		add_trait = greedy
		1968.6.29 = {birth = yes}
		2062.4.24 = {death = yes}
	}
	53070 = {
		name = Norgrim
		dynasty = 75173
		father=53059
		culture = dwarf_karak
		religion = ancestor_gods
		martial = 9
		diplomacy = 4
		stewardship = 4
		intrigue = 7
		learning = 7
		add_trait = creature_dwarf
		add_trait = falconer
		add_trait = martial_cleric
		add_trait = strong
		add_trait = diligent
		add_trait = envious
		1988.12.7 = {birth = yes}
		2041.9.4 = {death = yes}
	}
#Clan Gunnisson Karag Azril King line
53260 = {
	name = Gunn
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	1.11.14 = {birth = yes}
	20.12.17 = {death = yes}
	}
	53261 = {
	name = Dorin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53299
	1225.11.14 = {birth = yes}
	1598.12.17 = {death = yes}
	}
	53262 = {
	name = Thorbal
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53261
	1463.11.14 = {birth = yes}
	1832.12.17 = {death = yes}
	}
	53263 = {
	name = Thorek
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53262
	1763.11.14 = {birth = yes}
	2082.12.17 = {death = yes}
	}
	53264 = {
	name = Thorin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53263
	mother = 1362
	1905.11.14 = {birth = yes}
	1973.9.26 = {give_nickname = nick_oakenshield}
	2182.12.17 = {death = yes}
	}
	53265 = {
	name = Furgil
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53278
	138.11.14 = {birth = yes}
	156.1.8 = {death = {death_reason = death_battle}}
	}
	53266 = {
	name = Grogril
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53524
	1336.11.14 = {birth = yes}
	1539.12.17 = {death = yes}
	}
	53267 = {
	name = Mundri
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53266
	1520.11.14 = {birth = yes}
	1875.12.17 = {death = yes}
	}
	53268 = {
	name = Dorin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53267
	1771.11.14 = {birth = yes}
	1873.9.26 = {give_nickname = nick_irongrip}
	2086.12.17 = {death = yes}
	}
	53269 = {
	name = Thorin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
