#Used IDs 15151-15199
#Free IDs 15200-15300
15151 = { #88226
	name = Immanuel
	dynasty = 10171
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = mastermind_theologian
	add_trait = just
	add_trait = proud
	add_trait = zealous
	add_trait = brave
	add_trait = witch_hunter
	1979.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15152 = { #88227
	name = Johannes
	dynasty = 10168
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = scholarly_theologian
	add_trait = deceitful
	add_trait = humble
	add_trait = paranoid
	add_trait = gregarious
	add_trait = witch_hunter
	1982.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15153 = { #88228
	name = Lambert
	dynasty = 10172
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = martial_cleric
	add_trait = chaste
	add_trait = scholar
	add_trait = honest
	add_trait = quick
	add_trait = witch_hunter
	1994.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15154 = { #88229
	name = Reiner
	dynasty = 10056
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = brilliant_strategist
	add_trait = tough
	add_trait = wroth
	add_trait = content
	add_trait = brave
	add_trait = witch_hunter
	1975.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15155 = { #88230
	name = Sieghard
	dynasty = 10177
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = tough_soldier
	add_trait = slow
	add_trait = diligent
	add_trait = content
	add_trait = honest
	add_trait = witch_hunter
	1960.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15156 = { #88231
	name = Aelfric
	dynasty = 10164
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = mastermind_theologian
	add_trait = diligent
	add_trait = patient
	add_trait = paranoid
	add_trait = cruel
	add_trait = witch_hunter
	1981.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15157 = { #88232
	name = Heiko
	dynasty = 10163
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = midas_touched
	add_trait = deceitful
	add_trait = lustful
	add_trait = ambitious
	add_trait = zealous
	add_trait = witch_hunter
	1976.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15158 = { #88233
	name = Eleanor
	dynasty = 10162
	culture = witchhunter_culture
	religion = sigmarite
	female = yes
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = intricate_webweaver
	add_trait = deceitful
	add_trait = shy
	add_trait = diligent
	add_trait = patient
	add_trait = witch_hunter
	1964.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15159 = { #88234
	name = Niklaus
	dynasty = 10178
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = elusive_shadow
	add_trait = cruel
	add_trait = humble
	add_trait = zealous
	add_trait = paranoid
	add_trait = witch_hunter
	1984.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15160 = { #88235
	name = Leonard
	dynasty = 10160
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = martial_cleric
	add_trait = fair
	add_trait = proud
	add_trait = greedy
	add_trait = slothful
	add_trait = witch_hunter
	1938.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15161 = { #88236
	name = Natalie
	dynasty = 10101
	culture = witchhunter_culture
	religion = sigmarite
	female = yes
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = skilled_tactician
	add_trait = cruel
	add_trait = patient
	add_trait = impaler
	add_trait = brave
	add_trait = witch_hunter
	1966.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15162 = { #88237
	name = Joachim
	dynasty = 10054
	culture = witchhunter_culture
	religion = sigmarite
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = scholarly_theologian
	add_trait = gregarious
	add_trait = theologian
	add_trait = content
	add_trait = craven
	add_trait = witch_hunter
	1962.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15163 = { #88238
	name = Eilika
	dynasty = 10157
	culture = witchhunter_culture
	religion = sigmarite
	female = yes
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = martial_cleric
	add_trait = zealous
	add_trait = kind
	add_trait = strong
	add_trait = brave
	add_trait = witch_hunter
	1982.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15164 = { #88239
	name = Felicitas
	dynasty = 0
	culture = witchhunter_culture
	religion = sigmarite
	female = yes
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = martial_cleric
	add_trait = zealous
	add_trait = witch_hunter
	1984.6.2 = {birth = yes}
	2058.4.2 = {death = yes}
}

15165 = { #88240
	name = Amanda
	dynasty = 0
	culture = witchhunter_culture
	religion = sigmarite
	female = yes
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = martial_cleric
	add_trait = strong
	add_trait = brave
	add_trait = witch_hunter
	1972.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15166 = { #88241
	name = Hildeburg
	dynasty = 0
	culture = witchhunter_culture
	religion = sigmarite
	female = yes
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = cruel
	add_trait = witch_hunter
	1979.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15167 = { #88242
	name = Nele
	dynasty = 0
	culture = witchhunter_culture
	religion = sigmarite
	female = yes
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = martial_cleric
	add_trait = zealous
	add_trait = kind
	add_trait = witch_hunter
	1973.5.21 = {birth = yes}
	2038.4.2 = {death = yes}
}

15168 = { #88243
	name = Maria
	dynasty = 0
	culture = witchhunter_culture
	religion = sigmarite
	female = yes
	martial = 5
	diplomacy = 4
	stewardship = 4
	intrigue = 4
	learning = 6
	add_trait = creature_human
	add_trait = strong
	add_trait = brave
	add_trait = witch_hunter
	1988.5.21 = {birth = yes}
	2028.4.2 = {death = yes}
}

15169 = { #88244
	name = Verena
	dynasty = 0
	culture = witchhunter_culture
	religion = sigmarite
	female = yes
	martial = 5
