#Used IDs 6451-6534
#Free IDs 6535-6600

6451 = {	#50009
	name = Jilberzh
	dynasty = 27034
	dna = flijdjfiipf
	culture = carcassian
	religion = grail
	martial = 8
	diplomacy = 8
	stewardship = 5
	intrigue = 7
	learning = 4
	add_trait = flamboyant_schemer
	add_trait = cruel
	add_trait = deceitful
	add_trait = just
	1925.3.21 = {birth = yes}
	1984.1.14 = {death = yes}
}

6452 = {	#50016
	name = Mona
	female = yes
	dynasty = 27034
	dna = fiijdjfinpc
	culture = carcassian
	religion = grail
	father = 6451 #Jilberzh
	1949.8.5 = {birth = yes}
	2010.7.29 = {death = yes}
}

6453 = {	#50017
	name = Brandon
	dynasty = 27034
	dna = dlijdofiapf
	culture = carcassian
	religion = grail
	martial = 6
	diplomacy = 5
	stewardship = 6
	intrigue = 6
	learning = 7
	add_trait = indulgent_wastrel
	add_trait = diligent
	add_trait = zealous
	add_trait = craven
	add_trait = paranoid
	add_trait = gluttonous
	add_trait = patient
	add_trait = depressed
	father = 6451 #Jilberzh
	1950.5.6 = {birth = yes}
	2009.11.11 = {death = yes}
}

6454 = {	#50018
	name = Beladora
	female = yes
	dynasty = 27034
	dna = lcahljfiiff
	culture = carcassian
	religion = grail
	father = 6451 #Jilberzh
	1954.8.10 = {birth = yes}
	1999.7.11 = {death = yes}
}

6455 = {	#50019
	name = Guyomarc'h
	dynasty = 27034
	dna = baijgjbihcf
	culture = carcassian
	religion = grail
	martial = 4
	diplomacy = 6
	stewardship = 6
	intrigue = 5
	learning = 4
	add_trait = elusive_shadow
	add_trait = humble
	add_trait = ambitious
	add_trait = cruel
	add_trait = chaste
	add_trait = paranoid
	add_trait = brave
	add_trait = drunkard
	father = 6451 #Jilberzh
	1958.10.9 = {birth = yes}
	2010.4.13 = {death = yes}
}

6456 = {	#50020
	name = Riaged
	dynasty = 27034
	dna = ilhadjciflj
	culture = carcassian
	religion = grail
	martial = 5
	diplomacy = 5
	stewardship = 5
	intrigue = 8
	learning = 6
	add_trait = midas_touched
	add_trait = deceitful
	add_trait = cruel
	add_trait = shy
	father = 6451 #Jilberzh
	1960.3.14 = {birth = yes}
	2033.11.10 = {death = yes}
}

6457 = {	#50021
	name = Garin
	dynasty = 27034
	dna = mlnjdceofeh
	culture = carcassian
	religion = grail
	martial = 7
	diplomacy = 4
	stewardship = 8
	intrigue = 5
	learning = 7
	add_trait = flamboyant_schemer
	add_trait = shy
	add_trait = cynical
	add_trait = chaste
	add_trait = slothful
	add_trait = arbitrary
	father = 6451 #Jilberzh
	1962.6.11 = {birth = yes}
	2019.6.5 = {death = yes}
}

6458 = {	#50022
	name = Dhuoda
	female = yes
	dynasty = 27034
	dna = moejdjffiif
	culture = carcassian
	religion = grail
	father = 6451 #Jilberzh
	1964.7.7 = {birth = yes}
	2021.11.20 = {death = yes}
}

6459 = {	#50023
	name = Vinsant
	dynasty = 27034
	dna = mhijdofaanm
	culture = carcassian
	religion = grail
	martial = 4
	diplomacy = 7
	stewardship = 8
	intrigue = 6
	learning = 5
	add_trait = misguided_warrior
	add_trait = cruel
	add_trait = envious
	add_trait = temperate
	add_trait = chaste
	add_trait = shy
	father = 6453 #Brandon
	1974.5.2 = {birth = yes}
	2033.12.7 = {death = yes}
}

6460 = {	#50024
	name = Aouregan
	female = yes
	dynasty = 27034
	dna = hlingjfibdf
	culture = carcassian
	religion = grail
	father = 6453 #Brandon
	1977.8.26 = {birth = yes}
	2023.12.21 = {death = yes}
}

6461 = {	#50025
	name = Gael
	dynasty = 27034
	dna = hgjjdofiahm
	culture = carcassian
	religion = grail
	martial = 6
	diplomacy = 6
	stewardship = 5
	intrigue = 5
	learning = 6
	add_trait = martial_cleric
	add_trait = honest
	add_trait = charitable
	add_trait = temperate
	add_trait = humble
	father = 6453 #Brandon
	1980.1.9 = {birth = yes}
	2036.6.22 = {death = yes}
}

6462 = {	#50026
	name = Fransez
	dynasty = 27034
	dna = dmijloppcbg
	culture = carcassian
	religion = grail
	martial = 4
	diplomacy = 8
	stewardship = 7
	intrigue = 6
	learning = 4
	add_trait = thrifty_clerk
	add_trait = charitable
	add_trait = kind
	add_trait = shy
	father = 6453 #Brandon
	1982.12.27 = {birth = yes}
	2046.10.17 = {death = yes}
}

6463 = {	#50027
	name = Glen
	dynasty = 27034
	dna = mhnlpecnapm
	culture = carcassian
