#Used IDs 9301-9383
#Free IDs 9384-9450

9301 = {	#83000
	name = Engelbrecht	#Seiger's Brother
	dynasty = 12109
	culture = averlander
	religion = imperial_pantheon
	martial = 8
	diplomacy = 7
	stewardship = 2
	intrigue = 4
	learning = 3
	add_trait = creature_human
	add_trait = flamboyant_schemer
	add_trait = ambitious
	add_trait = deceitful
	father = 9356
	mother = 9382

	1975.8.29 = {birth = yes}
	2051.5.11 = {death = yes}
}

9302 = {	#83001
	name = Leopold
	dynasty = 12061
	culture = averlander
	religion = imperial_pantheon
	martial = 10
	diplomacy = 6
	stewardship = 8
	intrigue = 0
	learning = 4
	add_trait = creature_human
	add_trait = scholar
	add_trait = scholarly_theologian
	add_trait = honest
	add_trait = craven
	add_trait = fair
	father = 9363
	mother = 9364
	1958.5.7 = {birth = yes}
	1988.11.10 = {add_spouse = 9368}
	2054.2.13 = {death = yes}
}

9303 = {	#83002
	name = Simon
	dynasty = 12021
	culture = averlander
	religion = imperial_pantheon
	martial = 7
	diplomacy = 8
	stewardship = 1
	intrigue = 4
	learning = 5
	add_trait = creature_human
	add_trait = gardener
	add_trait = martial_cleric
	add_trait = ugly
	add_trait = hunchback
	1977.9.1 = {birth = yes}
	2045.3.6 = {death = yes}
}

9304 = {	#83003
	name = Bianka
	female = yes
	dynasty = 12032
	culture = averlander
	religion = imperial_pantheon
	martial = 8
	diplomacy = 8
	stewardship = 9
	intrigue = 11
	learning = 0
	add_trait = creature_human
	add_trait = impaler
	add_trait = amateurish_plotter
	add_trait = cruel
	add_trait = tall
	add_trait = wroth
	1992.8.14 = {birth = yes}
	2016.2.24 = {death = yes}
}

9305 = {	#83004
	name = Philipp
	dynasty = 12031
	culture = averlander
	religion = imperial_pantheon
	martial = 9
	diplomacy = 0
	stewardship = 7
	intrigue = 1
	learning = 7
	add_trait = creature_human
	add_trait = hunter
	add_trait = midas_touched
	add_trait = chaste
	add_trait = temperate
	add_trait = content
	1963.1.24 = {birth = yes}
	2052.7.29 = {death = yes}
}

9306 = {	#83005
	name = Johann
	dynasty = 12022
	culture = averlander
	religion = imperial_pantheon
	martial = 9
	diplomacy = 0
	stewardship = 5
	intrigue = 8
	learning = 6
	add_trait = creature_human
	add_trait = mystic
	add_trait = detached_priest
	add_trait = humble
	add_trait = trusting
	add_trait = weak
	1970.8.7 = {birth = yes}
	2017.3.2 = {death = yes}
}

9307 = {	#83006
	name = Hilde
	female = yes
	dynasty = 12047
	culture = averlander
	religion = imperial_pantheon
	martial = 4
	diplomacy = 8
	stewardship = 7
	intrigue = 2
	learning = 8
	add_trait = creature_human
	add_trait = falconer
	add_trait = amateurish_plotter
	1997.2.25 = {birth = yes}
	2047.6.4 = {death = yes}
}

9308 = {	#83007
	name = Franz
	dynasty = 12006
	culture = averlander
	religion = imperial_pantheon
	martial = 1
	diplomacy = 9
	stewardship = 5
	intrigue = 0
	learning = 1
	add_trait = creature_human
	add_trait = gardener
	add_trait = flamboyant_schemer
	add_trait = drunkard
	1991.10.27 = {birth = yes}
	2062.10.9 = {death = yes}
}

9309 = {	#83008
	name = Johann
	dynasty = 12054
	culture = averlander
	religion = imperial_pantheon
	martial = 9
	diplomacy = 4
	stewardship = 2
	intrigue = 4
	learning = 3
	add_trait = creature_human
	father = 9319
	add_trait = falconer
	add_trait = intricate_webweaver
	1999.8.4 = {birth = yes}
	2034.3.27 = {death = yes}
}

9310 = {	#83009
	name = Beatrix
	female = yes
	dynasty = 12039
	culture = averlander
	religion = imperial_pantheon
	martial = 6
