# LAST EDIT: 2021/04/11 - SUPERNOVA
#############
# BUILDINGS #
#############
###ÄNSI
#
# WONDERS
#
wonder_black_pyramid;Black Pyramid of Nagash;;;;;;;;x
wonder_black_pyramid_desc;The Black Pyramid was built by slaves brought to Khemri from all over Nehekhara. Made from stone the colour of ebony, it is not just a monument to Nagash's pride, it was designed to store death magic and to amplify his powers.;;;;;;;;x
wonder_inevitable_city;Inevitable City;;;;;;;;x
wonder_inevitable_city_desc;The Inevitable City is one of the few places where Daemons of all four Gods of Chaos can be found,tormenting the lost souls who become unwittingly ensnared by the paths that lead to the city. Other servants of the Ruinous Powers congregate within its walls and plot the downfall of the old world.;;;;;;;;x
wonder_phoenix_gate;Phoenix Gate;;;;;;;;;x
wonder_phoenix_gate_desc;The Phoenix Gate was well named, for over the course of its existence it has been reduced to ruble and rebuilt on several occasions. Yet its garrison are little worried by this seemingly grim record. A great many of the Phoenix Gate's soldiers are drawn from the Kingdom of Eataine, and they simply assume such woes to be part of Asuryan's ineffable plan. 'Should the enemy topple our walls,' they say 'then we shall simply build them higher and grander than before.' And so they have, many times. Indeed, the towers of the Phoenix Gate now stand so tall that their spires are lost within the clouds that hang heavy about the Annulii Mountains.;;;;;;;;;x
wonder_dragon_gate;Dragon Gate;;;;;;;;;x
wonder_dragon_gate_desc;The Dragon Gate is the largest and grandest of all Ulthuan's fortresses. When Caledor the Conqueror laid down the foundations of the great gates, he knew he would been unable to spend much time at court in Lothern, so enshrined the Dragon Gate as his war capital. He ordered a great palace be built into the heart of the fortress. The Dragon Gate's garrison too was established on a suitably grand scale, with near twice as many soldiers under arms as any two of the other great gates combined. Such an obvious display of martial pride soon proved an irresistible lure to the Dark Elves, and within a decade of the Dragon Gate's completion, no fewer than six of Malekith's armies broke themselves upon its walls. Now, like much of Ulthuan, the Dragon Gate is only sparsely occupied.;;;;;;;;;x
wonder_unicorn_gate;Unicorn Gate;;;;;;;;;x
wonder_unicorn_gate_desc;The Unicorn Gate guards the longest and most treacherous of the mountain passes. As a result, it has seen less conflict than its sister fortresses — even the most determined of Dark Elf attackers see little purpose in breaching the Unicorn Gate simply to fight their way through the Harpy- and Cockatrice-haunted ravines that lie beyond. For all this, the garrison of the Unicorn Gate are no less tested than those of other strongholds, for they are under constant attack by the denizens of the very pass they guard.;;;;;;;;;x
wonder_griffon_gate;Griffon Gate;;;;;;;;;x
wonder_griffon_gate_desc;The Griffon Gate is the oldest of Ulthuan's great mountain fortresses. It is also held to be unlucky by those who serve within it, for it always seems that foes besiege the Griffon Gate long before they consider carrying their blades against its sister fortresses. Yet the Griffon Gate's defenders forgive their fortress its odd fortunes, for there is still honour to be earned upon its walls. Furthermore, to be present upon the walls of the Griffon Gate at sunrise, it is said, is to be reminded of the Golden Age of the Elves, and to know one's hope reborn.;;;;;;;;;x
wonder_eagle_gate;Eagle Gate;;;;;;;;;x
wonder_eagle_gate_desc;From atop the Eagle Gate, one can catch the scent of the sea, a dark and musky aroma that sends a chill down one's spine as one thinks of the cold, evil lands that lay beyond it. In stark contrast, if one turns eastward, one can see the rolling steppes of Ellyrion as a golden brown haze, its bounteous lands warming the heart of many who keep watch this high up in the mountains.;;;;;;;;;x
wonder_druchii_watchtower;Watch Towers of Naggaroth;;;;;;;;;;;;;x
wonder_druchii_watchtower_desc;Naggaroth is a land in little danger of invasion. Few enemy fleets survive more than a few hours in its corsair-infested waters, let alone long enough to close with the jagged coast and land troops. The only real danger comes from hordes of Chaos that roam the frozen wastelands to the north. The Naggarothi have founded many great citadels to hold the hordes of Northmen at bay. Each of these Watchtowers is the size of a city, provisioned to withstand years of siege and garrisoned with a great host of Naggaroth's foremost warriors.;;;;;;;;;;;;;x
wonder_black_tower;The Black Tower;;;;;;;;;;;;;x
wonder_black_tower_desc;At the center of Naggarond stands the Black Tower. No mere fortress is this, but a city within a city -- a maze of palaces, ramparts and towers huddle within its curtain walls and jut from its sheer sides. Here dwell those nobles held highest in Malekith's regard -- an honour that brings wealth and patronage, but also danger. The Witch King has ever been a volatile monarch, generous when fortune smiles, but unflinchingly merciless when all does not go his way. Naggarond's court is therefore a place of rapid rises and meteoric descents -- few can play this game of politics for long, and none who take part die a natural death.;;;;;;;;;;;;;x
wonder_ghrond;Ghrond;;;;;;;;;;;;;x
wonder_ghrond_desc;The Tower of Ghrond is home to the feared Sorceresses of Naggaroth, long ruled by their Queen Morathi, mother of Malekith himself. It is a near impenetrable fortress, and the last line of defense against the hordes of the northern Chaos Wastes, should the watch towers fail to hold them back.;;;;;;;;;;;;;x
wonder_gallows_tree;Gallows Tree;;;;;;;;;;;;;x
wonder_gallows_tree_desc;The Gallows Tree is a warped and horrific entity in its own right. Its tangled limbs are coiled and spread as if distorted in pain and held high above a rot-strewn swamp of vine-choked thorns, looming higher than a Temple's steeple above the desolate wastes. Foul and unutterable things dwell beneath its canopy, the tree being a living gateway to the horrors beyond this plane of reality. It is said that within lies an unclean hag-daemon, shunned even by her own kind, who will bestow hidden secrets and dark prophecy on those who please her. Those however who fail to meet her standards of devotion to Father Nurgle end their time as grisly adornments hanging from the boughs of the great tree above, food for maggots and crows alike.;;;;;;;;;;;;;x
zanbaijin;Arena of Zanbaijin;;;;;;;;;x
zanbaijin_desc;Zanbaijin,the ancient city older than the race of Men itself, which had long served as an arena for the favoured champions of Chaos to prove themselves worthy of the favour of their masters. By the ancient traditions of the Norse, Kurgan and Hung, the victor of the great battle fought at Zanbaijin would become master of all the warbands he had vanquished. The fame of such a warlord would travel far in the northern wastes, drawing untold thousands to his war banner with the promise of glory and battle to come.;;;;;;;;;x
skavenblight;Skavenblight;;;;;;;;;x
skavenblight_desc;Skavenblight is the foul heart of the Skaven Under-Empire and the birthplace of the Skaven race. Through magics more powerful than the unsuspecting world can imagine, the largest and most densely populated city in the world is kept secret, its locations only guessed at by the very wisest of mortal-kind. Deep in the rotting heart of the Blighted Marsh festers the vile capital of the ratmen, the decay-ridden nexus of all Skavendom. This shell of a once-glorious city of mankind lies more than half sunken in the morass, a testimony to the corruption and ruin spread by the Children of the Horned Rat.;;;;;;;;;x
chaos_fortress;Chaos Fortress;;;;;;;;;x
chaos_fortress_desc;The Chaos Wastes serve as the principle arena of the mortal world in which the Dark Gods of Chaos play out their apocalyptic struggle for supremacy known to scholars of Daemon-lore as the Great Game. Amidst the impossible landscape, the armies of the Dark Gods clash in never-ending battles. These wars are fought not for glory, nor plunder, but simply to advance the unknowable designs of the Four. Every day, the Wastes rock and shudder with titanic conflicts the likes of which unmatched by even the most incredible battles of the Old World. Champions of these battle build great strongholds and dark temples to their gods.;;;;;;;;;x
;;;;;;;;;;x
#
# ARABYAN UNIQUE BUILDINGS
#
ca_al_haikk;Al-Haikk;;;;;;;;;x
ca_al_haikk_desc;Al-Haikk is traditionally the capital of Araby, whenever the nation is united. Once known as the "Jewel of Araby", the city has declined importance in recent years, with continued wars, disasters and sieges targeting it due its source of legitimacy as the seat of the Great Sultan of All-Araby. While it's usually called the "City of Thieves" nowadays, due to the rampant depopulation - and thievery - in some of its old quarters, and overshadowed by other thriving rival cities, it remains a prestigious location to all Arabyans.;;;;;;;;;x
ca_lashiek;Lashiek;;;;;;;;;x
ca_lashiek_desc;The City of Corsairs is the centre of trade between the North and Araby. Befitting its status as the face of the Arabyan Empire, Lashiek is a spacious city of surpassing beauty - but it is also home to ruthless pirates and the greatest thieves in all the world.;;;;;;;;;x
ca_istrabul;Istrabul;;;;;;;;;x
ca_istrabul_desc;From the Peacock Palace, the Sultan of Istrabul rules over one of the most wondrous cities of mankind. Istrabul is a city planned by the finest architects and built by combination of skilled labour and magical assistance. To Arabyans proper, it is an upstart, but none can deny the sparkling brilliance of the City of Man's Desire.;;;;;;;;;x
ca_copher;Copher;;;;;;;;;x
ca_copher_desc;Fabulous wealth from its spice gardens have allowed Copher certain liberties in politics and education. The city is home to many scholars and attracts many learned men from other realms.;;;;;;;;;x
ca_martek;Martek;;;;;;;;;x
ca_martek_desc;Nestled into the Atalan Mountains and straddling key caraven routes, Martek is both rich and highly defensible.;;;;;;;;;x
ca_el_kalabad;El-Kalabad;;;;;;;;;x
ca_el_kalabad_desc;Strengthened by magic to create a bulwark against the undead, El-Kalabad is the greatest fortress in Araby.;;;;;;;;;x
ca_al_aliman;Al-Aliman;;;;;;;;;x
ca_al_aliman_desc;Al-Aliman is an Arabyan Colony founded by Atruhayid corsairs, fierce mariners who still follow the old ways of Araby. Another recent colony with more spirit and ambition than solid power or wealth, it serves as a central hub of Old Worlder activity in southern Lustria. With spices and other exotic wares flowing through, and more and more adventurers and misfits arriving in search of adventure, the future of Al-Aliman seems promising and more importantly, profitable. It also fields famed Arabyan stallions, some of the finest horses in Lustria, not that there are many others to compete against!;;;;;;;;;x
#
# ARABYAN BUILDINGS
#
ca_arabyan_qassabah_1;Arabyan Ksar;;;;;;;;;x
ca_arabyan_qassabah_2;Arabyan Ksar;;;;;;;;;x
ca_arabyan_qassabah_3;Arabyan Ksar;;;;;;;;;x
ca_arabyan_qassabah_4;Arabyan Ksar;;;;;;;;;x
ca_arabyan_qassabah_5;Arabyan Ksar;;;;;;;;;x
ca_arabyan_qassabah_6;Arabyan Ksar;;;;;;;;;x
ca_arabyan_qassabah_1_desc;The Arabyan Ksar, or "citadel" in the Imperial tongue, is the central administration complex for all Arabyan military settlements. While the Ksar is the military might of the Arabyans, their architecture is legendary, full of impossible shapes, domed-roof buildings, and a myriad of spires, all linked with small walkways to get to-and-from. This not only serves to appease foreign emissaries, but to provide a confusing, maze-like structure, making it difficult for invaders to successfully take an Arabyan settlement.;;;;;;;;;x
ca_tarikahwarriors_1;Tarikah Barracks;;;;;;;;;x
ca_tarikahwarriors_2;Tarikah Barracks;;;;;;;;;x
ca_tarikahwarriors_3;Tarikah Barracks;;;;;;;;;x
ca_tarikahwarriors_4;Tarikah Barracks;;;;;;;;;x
ca_tarikahwarriors_5;Tarikah Barracks;;;;;;;;;x
ca_tarikahwarriors_6;Tarikah Barracks;;;;;;;;;x
ca_tarikahwarriors_1_desc;The Tarikah are lightly armored sword-and-bow infantry units that act as the mainstay for any Arabyan army. While Araby fields the finest cavalry in the Human world, their infantry are nothing to scoff at, as the art of sword dancing and the skills of their bowmen are impressive.;;;;;;;;;x
ca_shushtar_1;Shushtar Warriors;;;;;;;;;x
ca_shushtar_2;Shushtar Warriors;;;;;;;;;x
ca_shushtar_3;Shushtar Warriors;;;;;;;;;x
ca_shushtar_4;Shushtar Warriors;;;;;;;;;x
ca_shushtar_5;Shushtar Warriors;;;;;;;;;x
ca_shushtar_6;Shushtar Warriors;;;;;;;;;x
ca_shushtar_1_desc;The Shushtar used to be an ancient Arabyan tribe that used mounted archery and lightning fast cavalry strikes to great effect against the old Nehekharan empire. While their tribe would eventually perish, their fighting style would not, and the Nomadic Nehekkas, Tevari, and the Urban Ramaccans now use it to once again wreak havoc onto their foes.;;;;;;;;;x
ca_shariati_1;Shariati Heavy Cavalry;;;;;;;;;x
ca_shariati_2;Shariati Heavy Cavalry;;;;;;;;;x
ca_shariati_3;Shariati Heavy Cavalry;;;;;;;;;x
ca_shariati_4;Shariati Heavy Cavalry;;;;;;;;;x
ca_shariati_5;Shariati Heavy Cavalry;;;;;;;;;x
ca_shariati_6;Shariati Heavy Cavalry;;;;;;;;;x
ca_shariati_1_desc;The Shariati are the 'heavy' cavalry components of Cophic and nomadic Arabyan armies. Unlike the Shushtar, who use mounted archery and harass tactics, the Shariati make use of the sturdy Arabyan camel to deliver devastating charges unto enemy lines. It is also known that foreign horses(those that are not native to Araby) are afraid of camels due to their smell, and so the camel cavalry was also initially the reason for many Arabyan victories during the crusades.;;;;;;;;;x
ca_ramaccan_jannisaries_1;Ramaccan Janissaries;;;;;;;;;x
ca_ramaccan_jannisaries_2;Ramaccan Janissaries;;;;;;;;;x
ca_ramaccan_jannisaries_3;Ramaccan Janissaries;;;;;;;;;x
ca_ramaccan_jannisaries_4;Ramaccan Janissaries;;;;;;;;;x
ca_ramaccan_jannisaries_5;Ramaccan Janissaries;;;;;;;;;x
ca_ramaccan_jannisaries_1_desc;The Ramaccan Janissary is the penultimate, modern Arabyan warrior. Raised from a young age to be a killing machine, these soldiers are of the highest quality an Arabyan lord can field, and normally serve as his or her bodyguards and elite detachments in the field of battle. Heavily armed, incredibly disciplined, these warriors make short work of anyone foolish enough to stand in their path.;;;;;;;;;x
ca_cophic_mamluks_1;Cophic Cataphracts;;;;;;;;;x
ca_cophic_mamluks_2;Cophic Cataphracts;;;;;;;;;x
ca_cophic_mamluks_3;Cophic Cataphracts;;;;;;;;;x
ca_cophic_mamluks_4;Cophic Cataphracts;;;;;;;;;x
ca_cophic_mamluks_5;Cophic Cataphracts;;;;;;;;;x
ca_cophic_mamluks_1_desc;The Cataphract is an old Cophic idea made new. Much like the Ramaccan Jannisary, the Cophic Cataphract is an elite warrior of mostly noble stock, given the finest weapons, armor, steeds, and training to create a terrifying mounted warrior capable of smashing through enemy lines with frightening speed and grace.;;;;;;;;;x
ca_medean_warelephant_1;Medean War-Elephants;;;;;;;;;x
ca_medean_warelephant_2;Medean War-Elephants;;;;;;;;;x
ca_medean_warelephant_3;Medean War-Elephants;;;;;;;;;x
ca_medean_warelephant_4;Medean War-Elephants;;;;;;;;;x
ca_medean_warelephant_5;Medean War-Elephants;;;;;;;;;x
ca_medean_warelephant_1_desc;Due to the many colonies established by the Medeans in the Southlands, their various city-states can field the impressive Southland Elephants, gigantic beasts of war from deep within the jungles of the south. These elephants are accompanied by Southland tribesmen, who paint various symbols and images onto their elephants to intimidate and frighten their enemies.;;;;;;;;;x
ca_tevari_sanddevils_1;Sand Devils;;;;;;;;;x
ca_tevari_sanddevils_2;Sand Devils;;;;;;;;;x
ca_tevari_sanddevils_3;Sand Devils;;;;;;;;;x
ca_tevari_sanddevils_4;Sand Devils;;;;;;;;;x
ca_tevari_sanddevils_5;Sand Devils;;;;;;;;;x
ca_tevari_sanddevils_1_desc;In the harsh deserts and sand dunes of Araby and Nehekhara, heavy armour and infantry are mostly impractical. Due to this, and the nature of the lifestyle of the Tevari and Nehekkas, most of their number fight on horseback. Lightly armored, these warriors are quick enough to chase down even mounted skirmishers.;;;;;;;;;x
ca_arabnyancaravan_1;Grand Caravansary;;;;;;;;;x
ca_arabnyancaravan_2;Great Caravansary;;;;;;;;;x
ca_arabnyancaravan_1_desc;Found almost everywhere in Araby, the caravansary is the lifeblood of trade. It functions much like a marketplace from foreign lands, but larger, and full of exotic foods, crafts, people and creatures.;;;;;;;;;x
ca_arabyancorsairs_1;Corsairs of Araby;;;;;;;;;x
ca_arabyancorsairs_2;Corsairs of Araby;;;;;;;;;x
ca_arabyancorsairs_3;Corsairs of Araby;;;;;;;;;x
ca_arabyancorsairs_4;Corsairs of Araby;;;;;;;;;x
arabyancorsairs_desc;Here is where the fabled corsairs of Araby make port. Home to some of the most feared men in the oceans, easily capable of chasing down vulnerable trade ships and other soft targets in their dhows.;;;;;;;;;x
ct_cavalrystables_1;Arabyan Cavalry Militia;;;;;;;;;x
ct_cavalrystables_2;Arabyan Cavalry Militia;;;;;;;;;x
ct_cavalrystables_3;Arabyan Cavalry Militia;;;;;;;;;x
ct_cavalrystables_4;Arabyan Cavalry Militia;;;;;;;;;x
ct_cavalrystables_5;Arabyan Cavalry Militia;;;;;;;;;x
ct_cavalrystables_1_desc;While most soldiers raised in Arabyan cities are militia units, one should not mistake these riders as amateur or of poor quality. Horsemanship is a very serious and respected skill in Araby, and those cavalry units raised here are of no lesser quality than those trained in the Ksars.;;;;;;;;;x
ct_grandbazaar_1;Great Bazaar;;;;;;;;;x
ct_grandbazaar_2;Great Bazaar;;;;;;;;;x
ct_grandbazaar_3;Great Bazaar;;;;;;;;;x
ct_grandbazaar_4;Great Bazaar;;;;;;;;;x
ct_grandbazaar_5;Great Bazaar;;;;;;;;;x
ct_grandbazaar_6;Great Bazaar;;;;;;;;;x
ct_grandbazaar_1_desc;While many would say that the towering spires of the Ksars, or the daemonic, spell-bounded Djinn are what Araby is most known for, it is instead their cities' great bazaars, magnificent sections of Arabyan cities, mostly open air, full of exotic goods, everyday supplies, and of course, many stalls full of crafts and goods of questionable quality and authenticity.;;;;;;;;;x
ct_arabyan_cities_1;Arabyan Caravan-City;;;;;;;;;x
ct_arabyan_cities_2;Arabyan Caravan-City;;;;;;;;;x
ct_arabyan_cities_3;Arabyan Caravan-City;;;;;;;;;x
ct_arabyan_cities_4;Arabyan Caravan-City;;;;;;;;;x
ct_arabyan_cities_5;Arabyan Caravan-City;;;;;;;;;x
ct_arabyan_cities_6;Arabyan Caravan-City;;;;;;;;;x
ct_arabyan_cities_1_desc;Arabyans are know for two things, their horsemen, and their caravans. Here, in the beautiful cities that hug the deserts or sea-sides, the vast majority of caravans end up at. Much like the Ksars, the architecture of an Arabyan city makes it very difficult to siege properly.;;;;;;;;;x
ct_urbanmilitia_1;Urban Militia Quarters;;;;;;;;;x
ct_urbanmilitia_2;Urban Militia Quarters;;;;;;;;;x
ct_urbanmilitia_3;Urban Militia Quarters;;;;;;;;;x
ct_urbanmilitia_4;Urban Militia Quarters;;;;;;;;;x
ct_urbanmilitia_5;Urban Militia Quarters;;;;;;;;;x
ct_urbanmilitia_6;Urban Militia Quarters;;;;;;;;;x
ct_urbanmilitia_1_desc;Here is where an Arabyan city's foot-bound militia units are trained and housed. Armed with bows, spears, and swords, these militia units can hold their own in the field of battle, and can also reliably police Arabyan cities.;;;;;;;;;x
ct_southland_elephant_1;Southlander Quarters;;;;;;;;;x
ct_southland_elephant_2;Southlander Quarters;;;;;;;;;x
ct_southland_elephant_3;Southlander Quarters;;;;;;;;;x
ct_southland_elephant_4;Southlander Quarters;;;;;;;;;x
