# LAST EDIT: 15/09/2020 - OTTO
##############
# GAME SETUP #
##############
###ÄNSI
#
# RULES
#
RULE_GROUP_WARHAMMER;Warhammer;;;;;;;;;;;;x
RULE_WARHAMMER_ALBION;§RWarhammer:§! Mists of Albion;;;;;;;;;;;;x
RULE_WARHAMMER_ALBION_DEFAULT_DESC;The Mists of Albion will be enabled, making Albion and it's inhabitants unreachable until they're are cleared ( This will happen either around 2350 or when the Doom Counter is high enough ).;;;;;;;;;;;;x
RULE_WARHAMMER_ALBION_OFF_DESC;The Mists of Albion will be permanently disabled, and Albion will be reachable as normal.;;;;;;;;;;;;x
RULE_WARHAMMER_ALBION_PERMANENT_DESC;The Mists of Albion will be permanently enabled, and will never dispel.;;;;;;;;;;;;x
RULE_WARHAMMER_VAMPIRE_WARS;§RWarhammer:§! Vampire Wars;;;;;;;;;;;;x
RULE_WARHAMMER_VAMPIRE_WARS_DEFAULT_DESC;The Vampire Wars will be the default strength with a moderate chance of Vlad succeeding.;;;;;;;;;;;;x
RULE_WARHAMMER_VAMPIRE_WARS_DANGEROUS_DESC;The Vampire Wars will be harder with a likely chance of Vlad succeeding. This is ideal for Multiplayer Games focused within The Empire when someone is playing as Vlad Von Carstein.;;;;;;;;;;;;x
RULE_WARHAMMER_VAMPIRE_WARS_DEADLY_DESC;The Vampire Wars will be much harder with a very likely chance of Vlad succeeding. This is ideal for Multiplayer Games focused within The Empire when Vlad is controlled by the AI.;;;;;;;;;;;;x
RULE_WARHAMMER_VAMPIRE_WARS_OFF_DESC;The Vampire Wars will not be scripted.;;;;;;;;;;;;x
RULE_OPTION_STRONGER;Stronger;;;;;;;;;;;;x
RULE_OPTION_DANGEROUS;Dangerous;;;;;;;;;;;;x
RULE_OPTION_DEADLY;Deadly;;;;;;;;;;;;x
RULE_OPTION_SLOWER;Slower;;;;;;;;;;;;x
RULE_OPTION_FASTER;Faster;;;;;;;;;;;;x
RULE_OPTION_MORE;More Frequent;;;;;;;;;;;;x
RULE_OPTION_PERMANENT;Permanently On;;;;;;;;;;;;x
RULE_WARHAMMER_TRAITS;§RWarhammer:§! Hidden Traits;;;;;;;;;;;;x
RULE_WARHAMMER_TRAITS_OFF_DESC;No traits are hidden and displays as §CVanilla§!.;;;;;;;;;;;x
RULE_WARHAMMER_TRAITS_ON_DESC;All traits will be hidden to some degree §GRecommended for Multiplayer§!.;;;;;;;;;;;;x
#
# TRADE ROUTES
#
### Imperial ###
great_north_road;The Great North Road;;;;;;;;;;;;;x
old_dwarf_road;The Old Dwarf Road;;;;;;;;;;;;;x
old_forest_road;The Old Forest Road;;;;;;;;;;;;;x
great_reik_road;The Great Reik Road;;;;;;;;;;;;;x
grimway;The Grimway;;;;;;;;;;;;;x
altdorf_middenheim_road;The Altdorf-Middenheim Road;;;;;;;;;;;;;x
grey_lady_pass;The Grey Lady Pass;;;;;;;;;;;;;x
Pfeildorf_road;The Pfeildorf Road;;;;;;;;;;;;;x
nuln_road;The Nuln Road;;;;;;;;;;;;;x
bechafen_road;The Bechafen Road;;;;;;;;;;;;;x

###  Northern ###
great_kislev_road;The Great Kislevite Route;;;;;;;;;;;;;x
the_skull_road;The Skull Road;;;;;;;;;;;;;x
old_trail;The Old Trail;;;;;;;;;;;;;x

###  Eastern ###
the_pass_to_the_east;The Pass to the East;;;;;;;;;;;;;x
the_silver_road;The Silver Road;;;;;;;;;;;;;x
spice_route;The Spice Route;;;;;;;;;;;;;x
ivory_road;The Ivory Road;;;;;;;;;;;;;x

###  Southern ###
arabyan_trail;The Arabyan Trail;;;;;;;;;;;;;x
spice_road;The Spice Road;;;;;;;;;;;;;x
ancient_road;The Ancient Road;;;;;;;;;;;;;x

### Bretonnian ###
axe_bite_pass;Axe Bite Pass;;;;;;;;;;;;;x
gisoreux_road;Gisoreux Road;;;;;;;;;;;;;x
old_coast_road;Old Coast Road;;;;;;;;;;;;;x
bretonnian_road;Bretonnian Roads;;;;;;;;;;;;;x

### Myrmidian/Borderlands ###
tobaro_road;Tobaro Road;;;;;;;;;;;;;x
alboran_road;Alboran Road;;;;;;;;;;;;;x
gredos_road;Gredos Road;;;;;;;;;;;;;x
cantabrio_road;Cantabrio Road;;;;;;;;;;;;;x
via_aurelia;Via Aelia;;;;;;;;;;;;;x
via_diocletia;Via Diocletia;;;;;;;;;;;;;x
old_silk_road;The Old Silk Road;;;;;;;;;;;;;x
kyprian_road;The Kyprian Road;;;;;;;;;;;;;x
east_trail;The East Trail;;;;;;;;;;;;;x
pirates_way;The Pirate's Way;;;;;;;;;;;;;x


old_trail;The Old Trail;;;;;;;;;;;;;x







### NOT Used
underway;Ungdrin Ankor;;;;;;;;;;;;;x
