become_chaos_knight;Become a Chaos Knight;;;;;;;;;;;;x
become_chaos_knight_desc;Enables §Gright-clicking§! on your own character portrait, in order to become a Chaos Knight.;;;;;;;;;;;;x
e_realm_of_the_lady;Realm of the Lady;;;;;;;;;;;;x
e_realm_of_undivided;Realm of Undivided;;;;;;;;;;;;x
e_realm_of_magic;Realm of Magic;;;;;;;;;;;;x
the_sisterhood;The Sisterhood;;;;;;;;;;;;x
the_sisterhood_desc;The Sisterhood.;;;;;;;;;;;;x
nagash_vault;Vault of Nagash;;;;;;;;;;;;x
nagash_vault_desc;Deep inside the Pyramid of Nagash is said to be a vault, cursed with Undead magic by the fabled Necromancer himself. Only very few know what secrets it truly holds.;;;;;;;;;;;;x
great_necropolis;Great Necropolis;;;;;;;;;;;;x
great_necropolis_desc;Great Necropolis.;;;;;;;;;;;;x
coven_court;Coven Court;;;;;;;;;;;;x
coven_court_desc;Coven Court.;;;;;;;;;;;;x
mortal_court;Mortal Court;;;;;;;;;;;;x
mortal_court_desc;Mortal Court.;;;;;;;;;;;;x
bloodline_effect_great_heroes_appear;Periodically attracts the servitude of §GGreat Warriors§! (if §Y[From.Founder.Religion.GetName]§!);Attire périodiquement les services de §Ggrands guerriers§! (si §Y[From.Founder.Religion.GetName]§!);Zieht regelmäßig §GGroße Krieger§! an (bei gleicher §YReligion§! wie der §YGründer§!);;Atrae periódicamente el servicio de §Ggrandes guerreros§! (si tienen la misma §Yreligión§! que §YFounder§!);;;;;;;;;x
drachenfels;Drachenfels;;;;;;;;;;;;x
drachenfels_desc;Constant Drachenfels, the Great Enchanter is an infamous daemonologist and necromancer.;;;;;;;;;;;;x
GREAT_ENCHANTER;Great Enchanter;;;;;;;;;;;;x
k_drachenfels;Drachenfels;;;;;;;;;;;;x
drachenfels_back;Bring back the Great Enchanter;;;;;;;;;;;;x
drachenfels_back_desc;The Great Enchanter is a devil in human form, who cheated Death for centuries unknown, a man with appetites so base they lay beyond satiation, a necromancer, torturer of the dead, dismember of spirits, a vileness made flesh, a wizard, a scholar, a monster. Untold are the reaches of his barbarities, uncounted the number of his treacheries, beyond belief the depravities of his practices. Was ever such a vileness born of mortal flesh?;;;;;;;;;;;;x;;;;;;;;;;;;x
is_elector_count_tt;Is a Elector Count of the Empire;;;;;;;;;;;;x
DE_JURE_REALM_DRAKWALD_FORMED;de jure Drakwald has been formed;;;;;;;;;;;;x
DE_JURE_REALM_SOLLAND_FORMED;de jure Solland has been formed;;;;;;;;;;;;x
beastman_minor_migration;has not migrated in the last 15 years;;;;;;;;;;;;x
orc_iron;Iron Orc;;;;;;;;;;;;x
orc_iron_desc;Iron Orcs are a rare breed of Orc that apparently only exists in the northern slopes of the Irrana Mountains that border the Bretonnian Dukedom of Carcassonne.
minor_migration;Minor Migration;;;;;;;;;;;;x
minor_migration_desc;you have migrated in the last 15 years;;;;;;;;;;;;x
beastman_minor_migration;has not migrated in the last 15 years;;;;;;;;;;;;x
major_migration;Major Migration;;;;;;;;;;;;x
major_migration_desc;you have migrated in the last 30 years;;;;;;;;;;;;x
beastman_major_migration;has not migrated in the last 30 years;;;;;;;;;;;;x
REIKLANDER_NULNIAN_WAR_DESC;The war has been going on for 29 years now though for a large part of that time only small skirmishes has been fought, but of recent the Reiklanders has put Imperial Nuln under a full nation blackade and are marching troops towards our borders. \nImperial Nuln and her allies are suffering from lack of supplies and is only getting worse by the month for this war to be won it must happen quick.;;;;;;;;;;;;x
REIKLANDER_NULNIAN_WAR_OPTION;For Magritta;;;;;;;;;;;;x
war_exhaustion_modifier;War Exhaustion;;;;;;;;;;;;x
war_exhaustion_modifier_desc;This character is suffering from severre war exhaustion and will devastate their country if the war doesn't end soon.;;;;;;;;;;;;x
moot;Moot;;;;;;;;;;;;x
opinion_negative_subjugated;Was Subjugated;;;;;;;;;;;;;x
CB_NAME_VLAD_SUBJUGATION;First Vampre War;;;;;;;;;;;;;x
WAR_NAME_VLAD_SUBJUGATION;First Vampre War;;;;;;;;;;;;;x


