##############
# BLOODLINES #
##############
###ÄNSI
#
# BLOODLINE EFFECTS
#
bloodline_effect_bull_centaurs_appear;Bull Centaurs take a special interest in this dynasty.;;;;;;;;;;;;;x
bloodline_effect_family_treasure;This founder of this bloodline accumulated a huge treasure and their descendants are still benefitting.;;;;;;;;;;;;;x
#
# ARABYAN BLOODLINES
#
jasmine;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
jasmine_desc;One of the few women to rule in Araby, her enlightened reign has helped revive Al-Haikk into the thriving hub of culture and trade it once was.;;;;;;;;;;;;;x
mulhaed;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
mulhaed_desc;He brought the Light of Ormazd to the idol worshippers and founded the great cities of Araby. His many descendants continue to honor his legacy and Ormazd between feuds.;;;;;;;;;;;;;x
#
# ASRAI BLOODLINES
#
ariel;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
ariel_desc;The earthly avatar of the Elven goddess Isha and a being of incredible power. Together with her consort Orion she leads the Asrai and protects the sacred wood of Athel Loren.;;;;;;;;;;;;;x
#
# BRETONNIAN BLOODLINES
#
louis_the_brave;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
louis_the_brave_desc;A mighty Grail Knight and virtuous King, he died valiantly defending Couronne against the Chaos Lord Akrim, his sacrifice allowed his knights to escape certain death.;;;;;;;;;;;;;x
repanse;Pious Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
repanse_desc;Though born into modest means, Repanse was rewarded for her piety and nobility of spirit after she rallied retreating knights to break the siege of Couronne.;;;;;;;;;;;;;x
#
# NORSCAN/CHAOS BLOODLINES
#
svengarson;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
svengarson_desc;A legendary raider. He led numerous raids against the Bretonni, going so far as to successfully lay siege to Couronne.;;;;;;;;;;;;;x
losteriksson;Blood of [This.GetFirstName];Sang de [This.GetFirstName];Blut von [This.GetFirstName];;Sangre de [This.GetFirstName];;;;;x
losteriksson_desc;He founded the first and largest human settlement in the New World, naming it after his daughter, Skeggi, the first human born in the New World.;;;;;;;;;;;;;x
#
# DRUCHII BLOODLINES
#
hellebron;Wretched Blood of [This.GetFirstName];Sang de [This.GetFirstName];Blut von [This.GetFirstName];;Sangre de [This.GetFirstName];;;;;x
hellebron_desc;First among the Brides of Khaine, unparalleled in her mastery in the ways of murder, the depths of her cruelty remain unique even among her cruel kind.;;;;;;;;;;;;;x
#
# DAWI BLOODLINES
#
baragor;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
baragor_desc;The first Slayer King of Karak Kadrin, his successors inherited his kingdom and his oath. Just as he was, they are honor-bound to wage endless war in search of a heroic death.;;;;;;;;;;;;;x
lunn;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
lunn_desc;The last King of Eight Peaks, he fell with his ironbreakers against invading hordes of Skaven and Greenskins. His descendants have long fought to restore his honor.;;;;;;;;;;;;;x
morgrim_elgidum;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
morgrim_elgidum_desc;The so-called Doom of the Elves, he brought incredible violence upon elf-kind for their perfidy. Alongside his uncle, King Gotrek Starbreaker, he settled the War of Vengeance.;;;;;;;;;;;;;x
skalf_bloodline;Blood of the Dragonslayer;;;;;;;;;;;;x
skalf_bloodline_desc;Skalf Drakendrengi slew the terrible dragon Graug and won back the lost dwarf hold, Karak Azgal.;;;;;;;;;;;;x
#
# DAWI ZHARR BLOODLINES
#
chaos_dwarf_sorcerer_statue_bloodline;Stone Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
chaos_dwarf_sorcerer_statue_bloodline_desc;[This.GetFirstName] was once a mighty Sorcerer-Prophet, until the Sorcerer's Curse transformed [This.GetHerHim] into a lifeless statue of black stone.;;;;;;;;;;;;;x
#
# ESTALIAN/TILEAN BLOODLINES
#
inigo_montoya;Blood of [This.GetDynName];Sang de [This.GetDynName];Blut von [This.GetDynName];;Sangre de [This.GetDynName];;;;;x
inigo_montoya_desc;A byword for skillful swordsmanship, he became quite possibly the greatest living duelist in his pursuit of revenge.;;;;;;;;;;;;;x
marco_colombo_bloodline;Blood of the Navigator;;;;;;;;;;;;;x
marco_colombo_bloodline_desc;Marco Colombo was a well-traveled merchant and mercenary captain, famed for making contact with the lizardmen of Lustria.;;;;;;;;;;;;;x
miragliano_miracle_bloodline;Miracle of Miragliano;;;;;;;;;;;;;x
miragliano_miracle_bloodline_desc;Together, Prince Cosimo and the inventor Leonardo developed the first rational urban plan in Tilea;;;;;;;;;;;;;x
myrmidian_emperor;Blood of [This.GetTitledFirstNameWithNick ];Sang de [This.GetTitledFirstNameWithNick ];Blut von [This.GetTitledFirstNameWithNick ];;Sangre de [This.GetTitledFirstNameWithNick ];;;;;x
myrmidian_emperor_desc:;;;;;;;;;;;;;x
#
#
####################
# BLOODLINE EVENTS #
####################
#
# GENERIC RESPONSES
#
DONATETREASURE;Put it on display;;;;;;;;;;;;;x
SELLTREASURE;Sell it;;;;;;;;;;;;;x
KEEPTREASURE;Keep it!;;;;;;;;;;;;;x
#
# EVENT DESCRIPTIONS
#
EVTDESC_wh_bloodline.2_dwarf;Sad news. A distant relative has passed away. At least they willed a little something to you: a charming bone carving that has been in the dynasty for centuries. What will you do with this little treasure?;;;;;;;;;;;;;x
EVTDESC_wh_bloodline.2_human;Sad news. A distant relative has passed away. At least they willed a little something to you: a charming bone carving that has been in the dynasty for centuries. What will you do with this little treasure?;;;;;;;;;;;;;x
EVTDESC_wh_bloodline.3_dwarf;While reorganizing your clan's storage, you come across an old, unfaimiliar chest bearing the mark of the [Root.GetOnlyDynastyName]. You open it up to discover a [family_treasure.GetName]!\nWhat will you do with this treasure?;;;;;;;;;;;;;x
EVTDESC_wh_bloodline.3_human;You are surprised to receive a letter from a priest in a nearby town, claiming to have an object that belongs to your family. After a little wrangling you arrange for the [family_treasure.GetName] to be retrieved - but what will you do with it?;;;;;;;;;;;;;x
EVTDESC_wh_bloodline.4_dwarf;While reorganizing your clan's storage, you come across an old, unfaimiliar chest bearing the mark of the [Root.GetOnlyDynastyName]. You open it up to discover a [family_treasure.GetName]!\nWhat will you do with this treasure?;;;;;;;;;;;;;x
EVTDESC_wh_bloodline.4_human;You are surprised to receive a letter from a priest in a nearby town, claiming to have an object that belongs to your family. After a little wrangling you arrange for the [family_treasure.GetName] to be retrieved - but what will you do with it?;;;;;;;;;;;;;x
EVTDESC_wh_setup.203;The great navigator Marco Colombo traveled most of the Old World and even made it to Lustria. While the Colombo line died out, many merchant families claim him as an ancestor. Is House [Root.GetOnlyDynastyName] among them?;;;;;;;;;;;;;x
EVTOPTA_wh_setup.203;We are true heirs of Colombo;;;;;;;;;;;;;x
EVTOPB_wh_setup.203;We are of true [Root.Culture.GetName] blood;;;;;;;;;;;;;x
wh_setup_marco_colombo_bloodline_tt;All members of your dynasty will gain the Blood of the Navigator bloodline;;;;;;;;;;;;;x
