#####################
# CULTS AND HUNTERS #
#####################
###ÄNSI
#
# RULES
#
RULE_WARHAMMER_CULT_GRACE_PERIOD;§KWarhammer:§! Cult Grace Period;;;;;;;;;;;;;x
RULE_WARHAMMER_DEFAULT_CULT_GRACE_PERIOD;Default;;;;;;;;;;;;;x
RULE_WARHAMMER_DEFAULT_CULT_GRACE_PERIOD_DESC;By default, your main character is immune to Cult actions in the first game year.;;;;;;;;;;;;;x
RULE_WARHAMMER_NO_CULT_GRACE_PERIOD;No Grace Period;;;;;;;;;;;;;x
RULE_WARHAMMER_NO_CULT_GRACE_PERIOD_DESC;This setting removes your immunity to Cult actions and allows you to join Cults by decision.;;;;;;;;;;;;;x
RULE_WARHAMMER_LONGER_CULT_GRACE_PERIOD;Longer Grace Period;;;;;;;;;;;;;x
RULE_WARHAMMER_LONGER_CULT_GRACE_PERIOD_DESC;This extends your character's immunity to Cult actions out to the first five years, further reducing the chance of an early gameover.;;;;;;;;;;;;;x
#
# TITLES
#
CHAOS_CULT_MAGUS;Cult Magus;;;;;;;;;;;;;x
CHAOS_CULT_MAGUS_FOA;Enlightened One;;;;;;;;;;;;;x
k_children_of_doom;Children of Doom;;;;;;;;;;;;;x
k_cult_of_illumination;Cult of Illumination;;;;;;;;;;;;;x
k_path_of_fury;Path of Fury;;;;;;;;;;;;;x
k_purple_hand;Purple Hand;;;;;;;;;;;;;x
k_red_crown;Red Crown;;;;;;;;;;;;;x
k_singular_retreat;Singular Retreat;;;;;;;;;;;;;x
k_throne_pact;Throne Pact;;;;;;;;;;;;;x
k_tinean_fellowship;Tinean Fellowship;;;;;;;;;;;;;x
CHAOS_CULTIST_REVOLT;Cultist Uprising;;;;;;;;;;;;;x
#
# WITCH HUNTER LAWS
#
witch_hunter_law;Witch Hunting;;;;;;;;;;;;;x
witch_hunter_law_desc;The Old World is plagued by supernatural threats. In the shadows of the night all manner of cultic activity takes place - often innocent meetings in the name of the Gods of Men, but sometimes foul actions to spread the influence of malign powers.;;;;;;;;;;;;;x
witch_hunter_law_0;Traditional;;;;;;;;;;;;;x
witch_hunter_law_0_desc;No special methods are used for rooting out malign influences.\n§YYour court priest will monitor the realm for heresy.§!;;;;;;;;;;;;;x
