###ÄNSI
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x





asoborn_blood_desc;The Asoborn tribe are the ancient ancestors of the Stirlanders in the time of Sigmar.;;;;;;;;x
asoborn_blood;Blood of the Asoborn Tribe;;;;;;;;x
brigundian_blood_desc;The Brigundian tribe are the ancient ancestors of the Averlanders in the time of Sigmar and were famed for their riding skills.;;;;;;;;x
brigundian_blood;Blood of the Brigundian Tribe;;;;;;;;x
cherusen_blood_desc;The Cherusen tribe are the ancient ancestors of the Hochlanders in the time of Sigmar.;;;;;;;;x
cherusen_blood;Blood of the Cherusen Tribe;;;;;;;;x
endals_blood_desc;The Endal tribe are the ancient ancestors of the Westerlanders in the time of Sigmar, and builted the foundations of Marienburg and were the first tribe to swear fealty to Sigmar.;;;;;;;;x
endals_blood;Blood of the Endals Tribe;;;;;;;;x
jutones_blood_desc;The Jutones are the ancient ancestors of the Nordlanders in the time of Sigmar, and were widely renowned for their skills in personal combat.;;;;;;;;x
jutones_blood;Blood of the Jutones Tribe;;;;;;;;x
menogoth_blood_desc;The Menogoth are the ancient ancestors of the Sollanders in the time of Sigmar.;;;;;;;;x
menogoth_blood;Blood of the Menogoth Tribe;;;;;;;;x
merogen_blood_desc;The Merogen are the ancient ancestors of the Wissenlanders in the time of Sigmar, and are known for being powerful warrior.;;;;;;;;x
merogen_blood;Blood of the Merogen Tribe;;;;;;;;x
ostagoths_blood_desc;The Ostagoths are the ancient ancestors of the Ostermarkers in the time of Sigmar. Who defiantly fought an enormous Orc WAAAGH! until Sigmar's army arrived to turn the tide.;;;;;;;;x
ostagoths_blood;Blood of the Ostagoths Tribe;;;;;;;;x
taleuten_blood_desc;The Taleutens are the ancient ancestors of the Talabeclanders in the time of Sigmar.;;;;;;;;x
taleuten_blood;Blood of the Taleuten Tribe;;;;;;;;x
teutogen_blood_desc;Sigmar slew the Teutogen King Artur to win the fealty of the ancient ancestors of the Middenlanders, and Prince Wulcan honored the terms of the duel and served Sigmar loyally.;;;;;;;;x
teutogen_blood;Blood of the Teutogen Tribe;;;;;;;;x
thuringian_blood_desc;The Thuringian are the ancient ancestors of the Drakwalders. The Thuringians were feared for their ferocious berserkers.;;;;;;;;x
thuringian_blood;Blood of the Thuringian Tribe;;;;;;;;x
udoses_blood_desc;The Udoses are the ancient ancestors of the Ostlanders in the time of Sigmar. The Udoses were skilled builders who relied on their fortresses to protect them from Norsii raids.;;;;;;;;x
udoses_blood;Blood of the Udoses Tribe;;;;;;;;x
unberogen_blood_desc;Sigmar hails from the Unberogen tribe, and there descendants still today claim kinship with the Empire's patron god.;;;;;;;;x
unberogen_blood;Blood of the Unberogen Tribe;;;;;;;;x

#########################################

b_achern;Achern;;;;;;;;;;;;x
b_adelsheim;Adelsheim;;;;;;;;;;;;x
b_adersbach;Adersbach;;;;;;;;;;;;x
b_adrazhofen;Adrazhofen;;;;;;;;;;;;x
b_aegidienberg;Aegidienberg;;;;;;;;;;;;x
b_aelhaven;Aelhaven;;;;;;;;;;;;x
b_aham;Aham;;;;;;;;;;;;x
b_ahbeiten;Ahbeiten;;;;;;;;;;;;x
b_ahrensburg2;Ahrensburg;;;;;;;;;;;;x
b_ahrweiler;Ahrweiler;;;;;;;;;;;;x
b_albrechts;Albrechts;;;;;;;;;;;;x
b_alfen;Alfen;;;;;;;;;;;;x
b_alling;Alling;;;;;;;;;;;;x
b_alpen;Alpen;;;;;;;;;;;;x
b_alperstedt;Alperstedt;;;;;;;;;;;;x
b_alscheid;Alscheid;;;;;;;;;;;;x
b_alsleben;Alsleben;;;;;;;;;;;;x
b_alstatte;Alstatte;;;;;;;;;;;;x
b_altenburg;Altenburg;;;;;;;;;;;;x
b_altenstadt;Altenstadt;;;;;;;;;;;;x
b_altentreptow;Altentreptow;;;;;;;;;;;;x
b_altersbach;Altersbach;;;;;;;;;;;;x
b_altfraunhofen;Altfraunhofen;;;;;;;;;;;;x
b_althausen2;Althausen;;;;;;;;;;;;x
b_altheim;Altheim;;;;;;;;;;;;x
b_altrier;Altrier;;;;;;;;;;;;x
b_altstadten;Altstadten;;;;;;;;;;;;x
b_alzey;Alzey;;;;;;;;;;;;x
b_alzgern;Alzgern;;;;;;;;;;;;x
b_amberflower;Amberflower;;;;;;;;;;;;x
b_amchensee;Amchensee;;;;;;;;;;;;x
b_amern;Amern;;;;;;;;;;;;x
b_ammern;Ammern;;;;;;;;;;;;x
b_ammertsweiler;Ammertsweiler;;;;;;;;;;;;x
b_ampermoching;Ampermoching;;;;;;;;;;;;x
b_amrichshausen;Amrichshausen;;;;;;;;;;;;x
b_amsel;Amsel;;;;;;;;;;;;x
b_andelst;Andelst;;;;;;;;;;;;x
b_anevelde;Anevelde;;;;;;;;;;;;x
b_antersdorf;Antersdorf;;;;;;;;;;;;x
b_antweiler;Antweiler;;;;;;;;;;;;x
b_apeldoorn;Apeldoorn;;;;;;;;;;;;x
b_appelhulsen;Appelhulsen;;;;;;;;;;;;x
b_appingedam;Appingedam;;;;;;;;;;;;x
b_applebeam;Applebeam;;;;;;;;;;;;x
b_applebloom;Applebloom;;;;;;;;;;;;x
b_arnbruck;Arnbruck;;;;;;;;;;;;x
b_arnoldsweiler;Arnoldsweiler;;;;;;;;;;;;x
b_arpshagen;Arpshagen;;;;;;;;;;;;x
b_aschersleben;Aschersleben;;;;;;;;;;;;x
b_askevag;Askevag;;;;;;;;;;;;x
