### INVENTORS ###

#Society Definition
mad_inventors;The Mad Inventors;Les Adeptes de Lucifer;Kinder Luzifers;;siervos de Lucifer;;;;;x
mad_inventors_desc;Dwarfs and humans are innovative, yes, but it is among the far-seeing minds of the Chaos Dwarfs, the Skaven, and even the brighter Goblins that REAL invention takes place. You'll see. Oh yes. You'll see!;Ceux qui servent le Grand Adversaire se cachent au milieu de nous, consacrant leurs dépravations et perfidies à leur Seigneur Satan. Chaque transgression est un hymne, chaque assassinat un rugissement de défi contre la parole [Root.GetHighGodDuDelaDes]. Lucifer récompense généreusement de tels sombres sacrements – les sorciers sont dits dotés d'une durée de vie anormale et de pouvoirs démoniaques.;Die Jünger des Antichrist verstecken sich in unserer Mitte und huldigen in perfider Verderbtheit Satan, ihrem Herrn. Jede Sünde ist ihnen Hymnus, jeder Mord ein Aufschrei gegen das Wort von [Root.Religion.GetHighGodNameCap]. Luzifer belohnt die Priester seiner dunklen Sakramente fürstlich: So heißt es, dass er Hexen ein unnatürlich langes Leben schenkt und ihnen alle möglichen dämonischen Kräfte verleiht.;;"Aquellos que sirven al Gran Adversario se ocultan entre nosotros, dedicando sus depravaciones y perfidias a su señor, Satanás. Cada transgresión es un himno cada asesinato es un rugido de desafío contra la palabra de [Root.Religion.GetHighGodNameCap]. Lucifer recompensa esos sacramentos oscuros generosamente: se dice que las brujas están dotadas de una vida antinatural y de toda clase de poderes demoníacos.";;;;x
mad_inventors_rank_1_female;Dabbler;Apostate;Bannmagierin;;Apóstata;;;;x
mad_inventors_rank_2_female;Inventor;Sorcière;Beschwörerin;;Conjuradora;;;;x
mad_inventors_rank_3_female;Master Inventor;Prêtresse;Priesterin;;Sacerdotisa;;;;x
mad_inventors_rank_4_female;Grandmaster Inventor;Grande prêtresse;Hohepriesterin;;Suma sacerdotisa;;;;x
mad_inventors_rank_1_male;Dabbler;Apostat;Bannmagier;;Apóstata;;;;x
mad_inventors_rank_2_male;Inventor;Sorcier;Beschwörer;;Conjurador;;;;x
mad_inventors_rank_3_male;Master Inventor;Prêtre;Priester;;Sacerdote;;;;x
mad_inventors_rank_4_male;Grandmaster Inventor;Grand prêtre;Hohepriester;;Sumo sacerdote;;;;x
currency_name_mad_inventors;Inspiration;Grand prêtre;Hohepriester;;Sumo sacerdote;;;;x
mad_inventors_leader_desc;The Maddest of the Inventors.;Le Grand Prêtre des Adeptes de Lucifer.;Der Hohepriester der Kinder Luzifers.;;El sumo sacerdote (o sacerdotisa) de los siervos de Lucifer.;;;;;;;;;x
String_the_mad_inventors;The Engineers Guild;;;;;;;;;x

#Join Society Message
EVTDESC_wh_inventors_society_102;Hmm? What? Oh. Yes, go blow yourself up if you want. Just do it somewhere else!;Salutations, [Root.GetTitledFirstName] !\nNous sommes ravis d'apprendre que vous avez fait votre premier pas vers l'illumination. Les secrets du Corpus peuvent vous paraître obscurs, mais avec le temps vous pourrez les comprendre aussi bien que moi.\n\nGardez à l'esprit ce que vous voulez savoir, et [Root.GetHermesThriceBlessed], vous l'enseignera.\nSigné, [From.GetSocietyRank] [From.GetFirstName];Seid gegrüßt, [Root.GetTitledFirstName]!\nWir sind davon entzückt, zu erfahren, dass Ihr Euren ersten Schritt auf dem Weg zur Erleuchtung getan habt, [Root.GetTitle]. Die Geheimnisse des Corpus mögen Euch zwar jetzt noch verborgen sein, doch mit der Zeit werdet Ihr sie so wie ich selbst zu verstehen beginnen.\n\nDenkt immer an das Wissen, das Euch verheißen ist, dann wird [Root.GetHermesThriceBlessed] es Euch auch lehren.\nGezeichnet\n\n[From.GetSocietyRank] [From.GetFirstName];;Saludos, [Root.GetTitledFirstName]:\nNos complace saber que has dado tu primer paso hacia la iluminación, [Root.GetTitle]. Los secretos del Corpus pueden parecerte oscuros ahora, pero con el tiempo lograrás comprenderlos tan bien como yo.\n\nGuarda en tu mente lo que quieres aprender, que [Root.GetHermesThriceBlessed] te enseñará.\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;x
EVTOPTA_wh_inventors_society_102;Excellent.;;;;;;;;;x

#Society Powers
inventor_training;Inventor Training;;;;;;;;;x
inventor_training_power_desc;Enables Chaos Dwarfs to polish their invention skills.;;;;;;;;;x
inventor_training_desc;You've come this far without killing yourself. Why not make a career out of it?;;;;;;;;;;;;x
master_inventor_training;Master Inventor Training;;;;;;;;;x
master_inventor_training_power_desc;Enables Chaos Dwarfs who have survived fifty years as a mad inventor to further refine their skills.;;;;;;;;;x
master_inventor_training_desc;You've survived doing this for fifty years? Really?! I hope you're doing experiments and not just passively gaining monthly currency.;;;;;;;;;x
greenskin_inspiration;Greenskin Inspiration;;;;;;;;;x
greenskin_inspiration_power_desc;Lets a roight mad boy get 'is brain gubbinz workin' bettah!;;;;;;;;;x
greenskin_inspiration_desc;Roight, dis gubbinz shud make yah brain bettah or sumthin';;;;;;;;;x
inventor_target_practice;Target Practice;;;;;;;;;x
inventor_target_practice_power_desc;Enables a decision to set up a target range for artillery in your counties by right-clicking on the county shield.;;;;;;;;;x
inventor_target_practice_desc;Wrangle a few slaves, set out a few markers, and get those gun crews working!;;;;;;;;;x
inventor_testing_range;Testing Range;;;;;;;;;x
inventor_testing_range_power_desc;Enables a decision to set up a testing range for experiments in your counties by right-clicking on the county shield.;;;;;;;;;x
inventor_testing_range_desc;Working all day and night in a cramped workshop can be very hard. Why not take a break and test your most terrible weapons on a few slaves?;;;;;;;;;x
unleash_war_machines;Unleash War Machines;;;;;;;;;x
unleash_war_machines_power_desc;Enables a decision to send your brilliant mechanical creations to destroy the FOOLS who dare to defy you!;;;;;;;;;x
unleash_war_machines_desc;Could it be? A chance to test your death machines on VOLUNTEERS!;;;;;;;;;x
unleash_war_machines_tt;Create a small unit of unstoppable death machines at your capital.;;;;;;;;;x
inventor_experiment;Experiment!;;;;;;;;;;;;x
inventor_experiment_power_desc;Enables an Experiment decision accessed by right-clicking on your character portrait. These experiments carry a negligible risk and are essential for advancing your MASTER PLAN.;;;;;;;;;;;;x
inventor_experiment_desc;They've doubted you all these years and NOW IT IS TIME TO SHOW THEM!;;;;;;;;;;;;x
inventor_experiment_tt;Soon the fools will know their place.;;;;;;;;;;;;x
inventor_masterwork;Master Plan;;;;;;;;;x
inventor_masterwork_power_desc;The hour of fulfillment draws near and nobody can stop you. Nobody! Not even the RNG!;;;;;;;;;x

#Character modifiers
dangerous_brain_experiments;Dangerous Brain Experiments;;;;;;;;;;;;x
dangerous_brain_experiments_desc;Dis boy iz messin' wid 'is brain but 'e ain't reddy for anutha go jus' yet;;;;;;;;;;;;x
inventor_testing_range_modifier;Testing Range;;;;;;;;;;;;x
inventor_testing_range_modifier_desc;A specially designated stretch of open ground and a gaggle of luckless thralls allow for a series of "special tests".;;;;;;;;;;;;x
inventor_target_practice_modifier;Target Practice;;;;;;;;;;;;x
inventor_target_practice_modifier_desc;There's nothing quite like testing your artillery with live rounds and live targets.;;;;;;;;;;;;x

#Province modifiers


#Inventor experiments
EVTDESC_wh_inventors_society_10;The latest sign of your undeniable brilliance is ready to be tested.;;;;;;;;;;;;x
EVTOPTA_wh_inventors_society_10;Not that it needs a test, of course.;;;;;;;;;;;;x
EVTOPTA_wh_inventors_society_10_TT;Unless a wrecker has sabotaged your plan...;;;;;;;;;;;;x
EVTDESC_wh_inventors_society_11;Perfect! The device works exactly as anticipated and you- wait, that shouldn't be-;;;;;;;;;;;;x
EVTOPTA_wh_inventors_society_11;BOOM;;;;;;;;;;;;x
EVTDESC_wh_inventors_society_12;How can this be? Your plan was perfect but the device falls far short of expectations.;;;;;;;;;;;;x
EVTOPTA_wh_inventors_society_12;It must be your assistants' fault.;;;;;;;;;;;;x
EVTDESC_wh_inventors_society_13;Perfect! The device works exactly as anticipated and you- wait, why are we losing power!;;;;;;;;;;;;x
EVTOPTA_wh_inventors_society_13;CURSES;;;;;;;;;;;;x
EVTDESC_wh_inventors_society_14;Perfect! The device works exactly as anticpated and you- wait... no, it really does work perfectly!;;;;;;;;;;;;x
EVTOPTA_wh_inventors_society_14;Another link in your unbroken chain of flawless inventions.;;;;;;;;;;;;x
EVTDESC_wh_inventors_society_15;Pefect! The device works exactly as anticpated and you- wait, this is even better than expected! I mean, it's exactly as expected, it's just that the doubters are more wrong than usual!;;;;;;;;;x
EVTOPTA_wh_inventors_society_15;A true genius is never surprised by success;;;;;;;;;x

#Greenskin inspiration
