### WONDERS ###
#
#
# # SPECIAL # #
#
upgrade_new_temple_buildings_special_effect;Unlocks new buildings for local temple holdings;;;;;;;;;;;;x
upgrade_aerodrome_capital_only_effect;Aerodrome bonuses only apply if your capital is in this province;;;;;;;;;;;;x
#
# # DWARF HOLD  # #
#
wonder_dwarf_hold;Dwarf Hold;;;;;;;;;;;;x
wonder_dwarf_hold_desc;The great holds of the Dwarfs are peerless fortresses, capable of withstanding all but the most determined assault. Sadly, some of these holds have fallen into the greenskin hands and repurposed for their foul purposes.;;;;;;;;;;;;x
wonder_dwarf_hold_construction_desc;The Dwarfs rarely found a new hold, preferring to reclaim homes lost to their enemies in ages past.;;;;;;;;;;;;x

# MINING #
upgrade_mining_layer_1;Mining I;;;;;;;;;;;;x
upgrade_mining_layer_1_desc;The miners in this province are working relatively shallow layers of the earth, primarily discovering alluvial deposits.\n§GBuilding this upgrade will unlock new options.§!;;;;;;;;;;;;x
upgrade_mining_layer_2;Mining II;;;;;;;;;;;;x
upgrade_mining_layer_2_desc;The miners in this province are working somewhat deep layers of the earth, primarily discovering sedimentary deposits.\n§GBuilding this upgrade will unlock new options.§!;;;;;;;;;;;;x
upgrade_mining_layer_3;Mining III;;;;;;;;;;;;x
upgrade_mining_layer_3_desc;The miners in this province are working deep layers of the earth, primarily discovering igneous extrusive deposits.\n§GBuilding this upgrade will unlock new options.§!;;;;;;;;;;;;x
upgrade_mining_layer_4;Mining IV;;;;;;;;;;;;x
upgrade_mining_layer_4_desc;The miners in this province are working very deep layers of the earth, primarily discovering igneous intrusive and metamorphic deposits.\n§GBuilding this upgrade will unlock new options.§!;;;;;;;;;;;;x
upgrade_mining_pumps;Mining Pumps;;;;;;;;;;;;x
upgrade_mining_pumps_desc;Extensive machine pumps have replaced the crude hand pumps that keep this province's mines dry.;;;;;;;;;;;;x
#alluvial minerals
upgrade_mining_cassiterite;Cassiterite Mines;;;;;;;;;;;;x
upgrade_mining_cassiterite_desc;Miners in this province are working a deposit of cassiterite, an ore which can be smelted into tin.;;;;;;;;;;;;x
upgrade_mining_native_gold;Native Gold Mines;;;;;;;;;;;;x
upgrade_mining_native_gold_desc;Miners in this province are working scattered deposits of native gold, pure metal which requires no smelting.;;;;;;;;;;;;x
upgrade_mining_pyrite;Pyrite Mines;;;;;;;;;;;;x
upgrade_mining_pyrite_desc;Miners in this province are working scattered deposits of "Fool's Gold" (Pyrite), an important source of sulfur for our powder mills.;;;;;;;;;;;;x
upgrade_mining_tetrahedrite;Tetrahedrite Mines;;;;;;;;;;;;x
upgrade_mining_tetrahedrite_desc;Miners in this province are working deposits of tetrahedrite, a common ore which can be smelted into copper and silver.;;;;;;;;;;;;x
upgrade_mining_water;Artesian Well;;;;;;;;;;;;x
upgrade_mining_water_desc;This hold draws clean, healthy water from subterranean supplies. Thanks to this supply, the population is healthier and better prepared for sieges.;;;;;;;;;;;;x
#sedimentary minerals
upgrade_mining_coal;Coal Mines;;;;;;;;;;;;x
upgrade_mining_coal_desc;Miners in this province are working deposits of coal.;;;;;;;;;;;;x
upgrade_mining_galena;Galena Mines;;;;;;;;;;;;x
upgrade_mining_galena_desc;Miners in this province are working deposits of galena, an ore which can be smelted into lead and silver.;;;;;;;;;;;;x
upgrade_mining_hematite;Hematite Mines;;;;;;;;;;;;x
upgrade_mining_hematite_desc;Miners in this province are working deposits of hematite, an ore which can be smelted into iron.;;;;;;;;;;;;x
upgrade_mining_limonite;Limonite Mines;;;;;;;;;;;;x
upgrade_mining_limonite_desc;Miners in this province are working deposits of limonite, an ore which can be smelted into iron.;;;;;;;;;;;;x
upgrade_mining_magnetite;Magnetite Mines;;;;;;;;;;;;x
upgrade_mining_magnetite_desc;Miners in this province are working large deposits of magnetite, an ore which can be smelted into iron.;;;;;;;;;;;;x
upgrade_mining_rubies;Ruby Mines;;;;;;;;;;;;x
upgrade_mining_rubies_desc;Miners in this province are working scattered deposits of rubies.;;;;;;;;;;;;x
upgrade_mining_sapphires;Sapphire Mines;;;;;;;;;;;;x
upgrade_mining_sapphires_desc;Miners in this province are working scattered deposits of sapphires.;;;;;;;;;;;;x
#igneous extrusive minerals
upgrade_mining_cinnabar;Cinnabar Mines;;;;;;;;;;;;x
upgrade_mining_cinnabar_desc;Miners in this province are working deposits of cinnabar, an ore of mercury important to alchemists.;;;;;;;;;;;;x
upgrade_mining_native_copper;Native Copper Mines;;;;;;;;;;;;x
upgrade_mining_native_copper_desc;Miners in this province are working deposits of native copper, pure metal which requires no smelting.;;;;;;;;;;;;x
upgrade_mining_obsidian;Obsidian Mines;;;;;;;;;;;;x
upgrade_mining_obsidian_desc;Miners in this province are working deposits of obsidian, a black volcanic glass.;;;;;;;;;;;;x
#igneous intrusive minerals
upgrade_mining_diamonds;Diamond Mines;;;;;;;;;;;;x
upgrade_mining_diamonds_desc;Miners in this province are working scattered deposits of diamonds.;;;;;;;;;;;;x
upgrade_mining_emeralds;Emerald Mines;;;;;;;;;;;;x
upgrade_mining_emeralds_desc;Miners in this province are working scattered deposits of emeralds.;;;;;;;;;;;;x
upgrade_mining_garnierite;Garnierite Mines;;;;;;;;;;;;x
upgrade_mining_garnierite_desc;Miners in this province are working deposits of garnierite, an ore which can be smelted into nickel.;;;;;;;;;;;;x
upgrade_mining_granite;Granite Quarries;;;;;;;;;;;;x
upgrade_mining_granite_desc;Stonecutters in this province are working deep deposits of granite.;;;;;;;;;;;;x
#metamorphic minerals
upgrade_mining_marble;Marble Quarries;;;;;;;;;;;;x
upgrade_mining_marble_desc;Stonecutters in this province are working deep deposits of marble.;;;;;;;;;;;;x
# COMMERCE #
upgrade_great_dwarf_brewery;Great Brewery;;;;;;;;;;;;x
upgrade_great_dwarf_brewery_desc;Dwarf ale is legendary. It is not only flavoursome and intoxicating, but highly nutritious. In times of hardship, dwarfs have been known to survive for seasons on a diet of nothing but ale.;;;;;;;;;;;;x
upgrade_great_dwarf_port;Great Port;;;;;;;;;;;;x
upgrade_great_dwarf_port_desc;This province's major harbour has been upgraded with cranes and other machines that allow it to handle more cargo than less advanced harbours.;;;;;;;;;;;;x
upgrade_tunnel_roads;Underground Roads;;;;;;;;;;;;x
upgrade_tunnel_roads_desc;This province has an extensive network of subterranean roads, allowing its denizens to travel regardless of the surface weather.;;;;;;;;;;;;x
# FORTIFICATION #
upgrade_defensive_tunnels;Defensive Tunnels;;;;;;;;;;;;x
upgrade_defensive_tunnels_desc;This earth beneath this province has been carefully explored and tunnelled to protect against threats from above and below the surface.;;;;;;;;;;;;x
upgrade_great_gate;Great Gate;;;;;;;;;;;;x
upgrade_great_gate_desc;Every truly great dwarf hold has an imposing main entry. The great gate is a significant defensive work and a statement of the hold's artistic values.;;;;;;;;;;;;x
